Date,COURS_CLOTURE,COURS_AJUSTE,EVOLUTION,QUANTITE_ECHANGE,VOLUME
2021-2-12,253.1,253.1,0.04,44908,11379430.55
2021-2-11,253,253,-0.39,35122,8882453.7
2021-2-10,254,254,-0.29,2023,510348.75
2021-2-9,254.75,254.75,-1.26,47686,12187503.75
2021-2-8,258,258,0.68,54607,14086932
2021-2-5,256.25,256.25,0.45,37360,9568786
2021-2-4,255.1,255.1,-0.43,14747,3770210.7
2021-2-3,256.2,256.2,-0.35,6403,1639161.55
2021-2-2,257.1,257.1,0,10227,2627915.35
2021-2-1,257.1,257.1,-0.71,4903,1258069.6
2021-1-29,258.95,258.95,0.66,22796,5884442.8
2021-1-28,257.25,257.25,-0.16,1901,488938.25
2021-1-27,257.65,257.65,-0.88,4248,1095297.65
2021-1-26,259.95,259.95,1.15,63578,16443493
2021-1-25,257,257,0.02,36162,9289491.75
2021-1-22,256.95,256.95,1.68,104328,26802709.05
2021-1-21,252.7,252.7,-1.86,32151,8262183.1
2021-1-20,257.5,257.5,0.59,20723,5315444.1
2021-1-19,256,256,0.39,57168,14635568.75
2021-1-18,255,255,0.59,7359,1874210.65
2021-1-15,253.5,253.5,1.4,76971,19349781.9
2021-1-14,250,250,2.44,13974,3485930.95
2021-1-13,244.05,244.05,-1.99,24,5862.15
2021-1-12,249,249,1.22,2012,499299.65
2021-1-8,246,246,-0.4,3950,971600.2
2021-1-7,247,247,1.23,13,3236
2021-1-6,244,244,-2.24,4820,1179967.75
2021-1-5,249.6,249.6,-1.15,820,202852.9
2021-1-4,252.5,252.5,1.12,1,252.5
2020-12-31,249.7,249.7,1.92,11781,2936747.75
2020-12-30,245,245,0,0,0
2020-12-29,245,245,-0.41,770,189143.35
2020-12-28,246,246,-0.4,3748,924392.75
2020-12-25,247,247,-1.2,37380,9235334.25
2020-12-24,250,250,-0.4,14645,3668963.25
2020-12-23,251,251,0.4,3211,812018.15
2020-12-22,250,250,2.04,27848,6984889.95
2020-12-21,245,245,-3.77,33298,8207096.3
2020-12-18,254.6,254.6,-1.7,48944,12576407.8
2020-12-17,259,259,0.78,92725,23965062.15
