Date,COURS_CLOTURE,COURS_AJUSTE,EVOLUTION,QUANTITE_ECHANGE,VOLUME
2021-2-12,697.9,697.9,0.27,433,302106.7
2021-2-11,696,696,0,110,76570
2021-2-10,696,696,1.44,1263,878654
2021-2-9,686.1,686.1,-0.92,595,409863.4
2021-2-8,692.5,692.5,-0.06,3000,2070524.3
2021-2-5,692.9,692.9,0.13,543,375155.1
2021-2-4,692,692,0.29,1165,800301
2021-2-3,690,690,1.47,529,363325.2
2021-2-2,680,680,-0.29,427,290918.2
2021-2-1,682,682,-1.87,4240,2903661.5
2021-1-29,695,695,0.72,14,9744
2021-1-28,690,690,-1,587,400561.4
2021-1-27,697,697,0.81,1148,796526.3
2021-1-26,691.4,691.4,3.99,3998,2757420.5
2021-1-25,664.9,664.9,3.09,992,658191.9
2021-1-22,645,645,1.74,4188,2705472
2021-1-21,634,634,1.12,665,419697.1
2021-1-20,627,627,1.46,2673,1657462
2021-1-19,618,618,-0.16,365,226214.6
2021-1-18,619,619,0.65,108,66717
2021-1-15,615,615,0,2492,1540266.1
2021-1-14,615,615,2.84,2513,1522648.3
2021-1-13,598,598,1.36,936,555645.3
2021-1-12,590,590,-1.17,618,364088.2
2021-1-8,597,597,2.93,1415,835370.3
2021-1-7,580,580,0,1216,706851.2
2021-1-6,580,580,0,747,433260
2021-1-5,580,580,-1.19,424,246133.2
2021-1-4,587,587,1.21,120,70440
2020-12-31,580,580,0.69,140,80366
2020-12-30,576,576,-0.69,100,57894.5
2020-12-29,580,580,-0.03,129,74824
2020-12-28,580.2,580.2,-1.66,62,35722
2020-12-25,590,590,0,2915,1712620
2020-12-24,590,590,0,103,60746
2020-12-23,590,590,0.14,2603,1539299.7
2020-12-22,589.2,589.2,2.97,1271,742019
2020-12-21,572.2,572.2,-3.99,1513,866486.4
2020-12-18,596,596,3.47,2945,1728706
2020-12-17,576,576,2.13,9090,5161161.1
2020-12-16,564,564,0,12029,6852582.4
2020-12-15,564,564,-2.25,12352,7034469.4
2020-12-14,577,577,1.23,182,102433.5
2020-12-11,570,570,0.35,2393,1348631.2
2020-12-10,568,568,-0.14,384,217730.1
2020-12-9,568.8,568.8,-0.99,3526,2006560.9
2020-12-8,574.5,574.5,0,632,363004.5
2020-12-7,574.5,574.5,0.97,748,428673.4
2020-12-4,569,569,2.52,2061,1167318.8
2020-12-3,555,555,0.91,6636,3649998.9
2020-12-2,550,550,-0.36,677,370579
2020-12-1,552,552,0.38,22815,12241816.8
2020-11-30,549.9,549.9,0.35,1707,938018.9
2020-11-27,548,548,2.43,1184,646997.9
2020-11-26,535,535,0,0,0
2020-11-25,535,535,0.06,750,395430
2020-11-24,534.7,534.7,0.87,177,94601.2
2020-11-23,530.1,530.1,-1.47,441,235208
2020-11-20,538,538,1.51,882,474634.5
2020-11-19,530,530,0,169,89500.4
2020-11-17,530,530,-0.54,716,378126.9
